Date,Price,Open,High,Low,Vol.,Change %
06/01/2021,159.35,162,166.75,147.05,342.37K,-1.85%
05/01/2021,162.35,139.9,163.15,138.85,141.23K,16.01%
04/01/2021,139.95,124.95,145.8,120.55,279.62K,13.32%
03/01/2021,123.5,138.45,138.45,120.5,159.07K,-9.76%
02/01/2021,136.85,122.65,139.3,120.2,266.96K,11.31%
01/01/2021,122.95,128.4,131.75,118.75,385.67K,-4.13%
12/01/2020,128.25,120.2,129,114.75,104.84K,6.26%
11/01/2020,120.7,103.9,121.4,102.15,269.57K,15.61%
10/01/2020,104.4,110.95,113.35,102.95,388.63K,-5.90%
09/01/2020,110.95,132.25,134.5,108.3,179.06K,-14.52%
08/01/2020,129.8,118.2,130.8,109.7,293.81K,9.12%
07/01/2020,118.95,102.8,119.4,95.45,217.87K,18.89%
06/01/2020,100.05,95.85,101.45,92.7,290.45K,3.89%
05/01/2020,96.3,104.25,109.4,95.85,145.97K,-7.98%
04/01/2020,104.65,117.75,122,102.65,204.47K,-12.46%
03/01/2020,119.55,112.75,130.65,102.8,165.24K,8.58%
02/01/2020,110.1,102,111.5,97.4,338.35K,7.26%
01/01/2020,102.65,129.55,130.95,100.15,480.13K,-20.86%
12/01/2019,129.7,118,138.4,118,154.74K,9.41%
11/01/2019,118.55,102.15,118,101.1,422.64K,16.28%
10/01/2019,101.95,101.05,102.9,92.2,553.71K,0.79%
09/01/2019,101.15,101.15,102.9,97.25,148.51K,8.07%
08/01/2019,93.6,97.85,98.95,89.6,334.98K,-6.07%
07/01/2019,99.65,112.55,113.05,98.1,194.04K,-7.94%
06/01/2019,108.25,104.85,109,94,440.76K,3.49%
05/01/2019,104.6,91.7,105.3,86.75,290.92K,13.88%
04/01/2019,91.85,94.05,96.95,86.35,495.27K,-2.80%
03/01/2019,94.5,97.5,97.5,92.6,187.25K,-0.74%
02/01/2019,95.2,106.15,107,93.6,330.46K,-10.10%
01/01/2019,105.9,101.6,107.15,99.35,458.38K,3.98%
12/01/2018,101.85,102.05,104,95.75,105.07K,-1.36%
11/01/2018,103.25,113.05,121.3,104,363.50K,-8.39%
10/01/2018,112.7,102.15,125.5,101.1,771.68K,10.00%
09/01/2018,102.45,96.35,103.45,93.5,160.48K,4.43%
08/01/2018,98.1,109.7,110.4,95.45,457.12K,-10.74%
07/01/2018,109.9,108.45,113.4,105.8,181.85K,-1.43%
06/01/2018,111.5,123.9,124.95,112,408.47K,-9.86%
05/01/2018,123.7,122.85,124.05,112.45,195.42K,2.53%
04/01/2018,120.65,118.7,120.8,113.05,393.73K,2.12%
03/01/2018,118.15,121.35,122,116.5,138.18K,-2.40%
02/01/2018,121.05,121.7,124.4,116.5,325.32K,-0.66%
01/01/2018,121.85,126,131.35,119.6,516.82K,-3.45%
12/01/2017,126.2,126.95,128,116.9,112.00K,-0.08%
11/01/2017,126.3,124.7,130.3,121.15,342.43K,0.96%
10/01/2017,125.1,127.8,132.7,122.85,388.98K,-2.30%
09/01/2017,128.05,128.9,141.35,125.95,138.67K,-0.08%
08/01/2017,128.15,139.25,143.75,125.5,288.81K,-7.97%
07/01/2017,139.25,126.25,139.35,125,149.82K,12.25%
06/01/2017,124.05,129.5,130,113,285.58K,-4.10%
05/01/2017,129.35,134.65,135,127.15,127.70K,-1.30%
04/01/2017,131.05,138.8,143.7,126.7,252.29K,-5.92%
03/01/2017,139.3,140.2,144.7,136.2,110.51K,-1.00%
02/01/2017,140.7,149.55,151.7,138.6,233.03K,-5.92%
01/01/2017,149.55,137.8,156.95,134.4,342.17K,9.12%
12/01/2016,137.05,147.65,147.9,132.85,94.79K,-7.08%
11/01/2016,147.5,163.25,176,147.4,340.42K,-10.14%
10/01/2016,164.15,151.1,166.9,145.2,401.87K,8.31%
09/01/2016,151.55,150.75,160.9,147,154.62K,3.87%
08/01/2016,145.9,145,146.15,134.9,274.70K,-0.21%
07/01/2016,146.2,143.45,153.05,139.05,128.80K,1.46%
06/01/2016,144.1,121.5,146.05,120.85,368.60K,18.55%
05/01/2016,121.55,122.1,132.6,118.7,151.09K,0.58%
04/01/2016,120.85,127.35,130,119.05,269.77K,-5.18%
03/01/2016,127.45,114.3,136.4,111.35,148.28K,13.14%
02/01/2016,112.65,115.8,124,112.25,291.67K,-3.18%
01/01/2016,116.35,126.15,126.3,111.05,351.62K,-8.17%
12/01/2015,126.7,116.3,126.8,115.75,69.00K,8.38%
11/01/2015,116.9,121,123.95,111.6,263.30K,-3.35%
10/01/2015,120.95,121.3,137.6,116.3,383.32K,-0.33%
09/01/2015,121.35,119.55,123.35,113.2,123.14K,0.66%
08/01/2015,120.55,125.1,139,117.1,319.41K,-3.75%
07/01/2015,125.25,130.15,130.3,119.85,134.79K,-4.13%
06/01/2015,130.65,128.2,138.85,124.8,284.23K,3.57%
05/01/2015,126.15,137,143.85,123.55,155.49K,-7.62%
04/01/2015,136.55,133.4,147.35,131.95,238.00K,2.75%
03/01/2015,132.9,138.55,145.4,129.05,105.86K,-2.82%
02/01/2015,136.75,162.4,169.75,136.45,249.56K,-15.53%
01/01/2015,161.9,165.05,184.9,158.7,349.52K,-2.82%
12/01/2014,166.6,187.55,188.25,164,54.44K,-10.74%
11/01/2014,186.65,188.95,199.75,181.1,199.97K,-0.72%
10/01/2014,188,194,225.5,185.65,335.91K,-2.77%
09/01/2014,193.35,200.1,204.7,176.2,100.45K,-1.23%
08/01/2014,195.75,194.85,207.4,178.65,226.36K,0.36%
07/01/2014,195.05,172.25,196.4,157.8,106.35K,12.75%
06/01/2014,173,177.25,182.5,163.1,213.17K,-2.54%
05/01/2014,177.5,203.95,203.95,170.8,97.83K,-12.58%
04/01/2014,203.05,177,215.7,167.9,247.84K,14.14%
03/01/2014,177.9,180.55,207.55,166,127.02K,-1.06%
02/01/2014,179.8,125,180.35,125,367.29K,43.61%
01/01/2014,125.2,111.05,125.95,110.2,343.63K,13.10%
12/01/2013,110.7,109.8,118.4,105.5,55.18K,0.41%
11/01/2013,110.25,105.4,111.85,100.95,267.69K,4.60%
10/01/2013,105.4,113.9,117.95,105.25,258.92K,-7.30%
09/01/2013,113.7,113,119.2,111.1,85.19K,1.43%
08/01/2013,112.1,118.75,124.6,112,262.44K,-5.48%
07/01/2013,118.6,120.6,132.15,117.4,123.09K,-1.17%
06/01/2013,120,127.05,129.9,116.9,261.48K,-5.55%
05/01/2013,127.05,136,147.65,125.05,151.01K,-5.85%
04/01/2013,134.95,137.15,143.5,131.75,308.06K,-1.60%
03/01/2013,137.15,143.55,146.9,132.05,108.25K,-3.86%
02/01/2013,142.65,146.95,149.8,135.9,251.00K,-2.93%
01/01/2013,146.95,145,157.9,142.6,363.21K,2.19%
12/01/2012,143.8,140.1,149.25,136.6,60.77K,1.20%
11/01/2012,142.1,154.65,156.4,132.25,205.61K,-8.12%
10/01/2012,154.65,172.85,185.45,154.4,309.87K,-10.86%
09/01/2012,173.5,164.45,182.65,157.1,90.11K,5.44%
08/01/2012,164.55,174.65,177.85,157.4,180.40K,-5.65%
07/01/2012,174.4,172.8,190.85,172.5,97.78K,2.53%
06/01/2012,170.1,160.65,168.6,148.2,185.62K,5.88%
05/01/2012,160.65,176,182.9,160.15,128.81K,-9.72%
04/01/2012,177.95,182.5,190.45,171.9,220.03K,-2.47%
03/01/2012,182.45,203.15,203.15,174.45,130.33K,-10.19%
02/01/2012,203.15,214.5,222.45,195.9,157.11K,-5.53%
01/01/2012,215.05,226.85,238.5,213.1,245.68K,-5.20%
12/01/2011,226.85,233.2,235.7,213.4,45.15K,-2.97%
11/01/2011,233.8,226.4,240,220.45,178.00K,3.02%
10/01/2011,226.95,228.5,252.5,219.8,261.45K,-0.85%
09/01/2011,228.9,285.85,291.75,228.5,126.47K,-20.82%
08/01/2011,289.1,240.6,286.1,231.35,197.47K,20.68%
07/01/2011,239.55,263.2,269.7,237.2,92.75K,-9.72%
06/01/2011,265.35,264.25,273.8,239.65,179.58K,0.28%
05/01/2011,264.6,298.35,306.25,258.6,91.67K,-11.61%
04/01/2011,299.35,265.5,301.05,254.05,189.00K,13.33%
03/01/2011,264.15,273.7,294.7,257.8,87.00K,-2.78%
02/01/2011,271.7,245.55,277,245.35,168.26K,10.99%
01/01/2011,244.8,239,250.75,226.5,252.46K,1.79%
12/01/2010,240.5,200.2,242.25,200,51.96K,19.68%
11/01/2010,200.95,202.8,218.7,192.8,221.39K,-1.23%
10/01/2010,203.45,183.65,204.6,171.6,249.11K,11.14%
09/01/2010,183.05,181.4,194.85,178.25,86.65K,3.54%
08/01/2010,176.8,175.6,186.75,163.5,211.08K,0.28%
07/01/2010,176.3,164.3,178.75,155,97.70K,7.37%
06/01/2010,164.2,134,175,132.55,221.45K,22.31%
05/01/2010,134.25,136.2,138.4,130.25,89.33K,-0.70%
04/01/2010,135.2,136.55,139.85,128.6,186.24K,-0.70%
03/01/2010,136.15,129.65,139.05,126.55,99.92K,5.50%
02/01/2010,129.05,132,135.95,126.6,204.33K,-2.01%
01/01/2010,131.7,136,146.95,131.6,226.61K,-3.13%
12/01/2009,135.95,142.5,149.2,135.8,56.87K,-4.09%
11/01/2009,141.75,135,144,130,209.00K,4.61%
10/01/2009,135.5,127.5,145.4,125.9,230.09K,6.03%
09/01/2009,127.8,120.7,138.3,119.2,69.49K,5.71%
08/01/2009,120.9,128.15,138.6,118.6,152.84K,-5.44%
07/01/2009,127.85,118.05,128,111.5,73.28K,8.99%
06/01/2009,117.3,137,142.9,115,169.78K,-14.63%
05/01/2009,137.4,119.9,138.85,119.75,76.32K,19.48%
04/01/2009,115,115.55,120.3,110.8,148.51K,-0.65%
03/01/2009,115.75,109.45,119.2,103.3,70.91K,5.76%
02/01/2009,109.45,118.9,122.15,108,171.29K,-7.95%
01/01/2009,118.9,111.85,123.4,106.05,203.44K,6.11%
12/01/2008,112.05,113.15,113.2,101.7,32.81K,-1.80%
11/01/2008,114.1,114,118.5,106.25,159.81K,0.97%
10/01/2008,113,131.1,131.9,105.05,255.93K,-13.38%
09/01/2008,130.45,139.5,143.6,126.8,93.69K,-8.07%
08/01/2008,141.9,139.5,147.85,131.2,220.08K,1.83%
07/01/2008,139.35,151.15,153.75,133.95,73.92K,-7.65%
06/01/2008,150.9,133.85,154.05,130.5,248.32K,12.70%
05/01/2008,133.9,133.5,142,128,103.51K,-0.48%
04/01/2008,134.55,127,140.65,126.2,199.68K,5.61%
03/01/2008,127.4,165.25,166.35,125.85,111.75K,-22.60%
02/01/2008,164.6,137.6,169.6,137.15,223.09K,19.15%
01/01/2008,138.15,136,139.4,129.8,257.63K,1.43%
12/01/2007,136.2,125.4,136.85,124.5,44.14K,8.14%
11/01/2007,125.95,121.8,127.5,118.05,143.48K,3.79%
10/01/2007,121.35,130,140.8,119.95,291.51K,-5.67%
09/01/2007,128.65,115,135,112.5,110.96K,14.20%
08/01/2007,112.65,113.8,121.9,110.95,252.09K,-1.44%
07/01/2007,114.3,111.2,116.2,106.9,101.37K,2.97%
06/01/2007,111,111.9,118.4,109.25,238.93K,-0.80%
05/01/2007,111.9,102.05,114.05,101.1,82.64K,8.48%
04/01/2007,103.15,109.25,114.25,102.55,187.98K,-5.58%
03/01/2007,109.25,115.1,116,107.45,91.53K,-7.18%
02/01/2007,117.7,118.3,120,112.75,171.36K,0.04%
01/01/2007,117.65,124.3,125.9,115.3,219.89K,-6.77%
12/01/2006,126.2,120.5,129.75,118.5,73.60K,5.43%
